projectName,position,projectHead,estimatedTime,projectDescription,fullDescription,divide
Kiwanis Service Leadership Program (SLP),10,Mike Luginbuhl,Substantial investment in time,"MHKC advisors work in pairs to increase continuity.  MHKC advisors provide assistance and mentoring to SLP students and support to faculty advisors.  Participating in SLP at elementary or middle school level involves 2-5 hours/month, most of which is spent in the schools with the students.  At the high school and college level, the commitment is higher, 10-20 hours a month depending on the time of year.","The Service Leadership Program (SLP) is our SIGNATURE PROJECT?helping our youth learn about service and leadership. This program is a central element of our Youth Outreach programs and the key element of our mission: Making a Positive Difference for Youth and Our Community. ÿThe SLP organizes and mentors student-led clubs at elementary, middle, and high school levels as well as a college level club.ÿ The program provides our members a way to interact directly with our community and youth, bringing them perspective on service to others and on leadership in the community.  Our advisors work with school faculty to enrich our students by providing them early opportunities to impact others.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a>",0
MHKC 4th of July Parade,20,Frank Dellala,One morning on July Fourth,"Most of the volunteer work for the Parade is on one day, the 4th of July.  Some leadership positions are available to assist the Parade Manager with Setup, Judging, Marshals, Logistics, Transportation, Cleanup, and in other areas.  Volunteers work from early on the 4th until noon or a little later, depending on the position.  Most positions involve contact with the parade participants and the public.","The MHKC 4th of July Parade has been billed as ?The Biggest Small Town Parade in America.?  MHKC makes a difference by organizing and operating a 100 unit parade through historic downtown Monument, Colorado every Independence Day as part of the Tri-Lakes Independence Day Celebration.  In operation since the 1970s, this parade is our largest Community Service project.  Our members start in April, implementing parade plans and coordinating with our partners. The parade includes a children?s parade, VIPs, veterans units, horses & other animals, bands, churches, businesses, fire trucks, and other exciting units.  The MHKC team manages publicity, coordination with law enforcement, transportation, services, trash, barricades, and unit applications.  Our members also supervise parking, parade line-up, children?s parade organization, parade safety marshals, and cleanup.  In all, it takes more than 80 of our members to make the parade a success.  MHKC volunteers contribute over 1,500 hours to present this event?we?re very proud of this gift to the community.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a>",0
Children's Literacy Center (CLC),30,Mike Luginbuhl,Moderate investment in time,MHKC volunteers tutor selected students twice per week between 5:30-6:30 pm.ÿ A background check is required but no specific teaching experience is required.ÿ Tutors participate in a half day training session before working with students.ÿThe CLC has both school year and summer sessions. ,"Learning to Read is KEY to Reading to Learn.  According to the National Assessment of Adult Literacy, 2/3 of students who cannot read proficiently by the end of the 4th grade will end up in jail or on welfare.  MHKC makes a difference by providing volunteer tutors to the Children's Literacy Center for elementary students in D38 schools. The program is aimed at K-3 grades.ÿ Students are screened by the CLC and assigned to volunteers who maintain continuity with a single student through their participation in the program.ÿ MHKC volunteers contribute about 500 hours annually to this project. This event takes place during the school year and during a short summer session. For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a>",0
Distributive Education Clubs of America (DECA),40,Ed Hettler,Moderate investment in time,"DECA volunteers give 1-2 days, once a year, to be judges? one day at the district competition in Castle Rock in November, and/or one day at the state competition at the Broadmoor in February.  No specific experience is required and training is provided on the day.  Judges travel to the location and must have a charged internet device (tablet or phone) for the scoring process.  Meals are provided at the venues.","For our students who want to careers in business, MHKC makes a difference by providing judges for annual area and state DECA competitions. High school DECA students compete in a number of marketing challenges in several specialty areas to earn college scholarship support.ÿ Area competitions take place over a 1-2 day period.ÿ MHKC volunteers work in pairs to judge student presentations in a number of specialty areas.ÿ No specific qualifications are required of volunteers and training is provided to assist them in the judging tasks.ÿ Judges are not involved in compiling scores or in selecting competition awards.ÿ MHKC volunteers contribute about 30 hours annually to this project.ÿ This event takes place on one weekend in early December every year.  Two judging sessions yearly between November and February? No experience necessary.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a>",0
Pikes Peak Soap Box Derby,50,Greg Bielanski,One to two days,This project requires a commitment of 2-3 hours several days in mid to late May and three weekend days in early June.  Volunteers work with youth to disassemble and reassemble SBD cars at Brad?s House in Monument.  Complete step by step plans are provided.  Some simple tools are required.  No specific expertise is required.,"Having fun building self-confidence in our youth, MHKC makes a difference by supporting the annual Pikes Peak Soap Box Derby (PPSBD) which provides the opportunity for young boys and girls to build and race gravity propelled cars in an environment of safe competition.  Club members provide assistance with inspecting and weighing cars as well as supervision of track preparation and race activities.ÿ Members also provide special assistance to the Griffith Centers for Children Chins Up (GCCCU), supervising selected students who build and race cars in three categories.ÿ MHKC volunteers contribute about 200 hours annually to this event.ÿ This event takes place in early June every year.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a> , or <a href=""http://www.soapboxderby.org"" target=""_blank"">www.soapboxderby.org</a>  or google <strong>Pikes Peak Soap Box Derby</strong>.",0
Rocky Mountain Youth Leadership Conference (RMYLC),60,RF Smith,One to four days,Volunteer opportunities are available with the Foundation and the Conference.  Foundation volunteers commit to 2 hours/month for Board meetings and additional time in the fall to organize and execute a fundraiser.  Conference volunteer work can vary from part time to full time at the Conference in Pueblo for a week in the middle of June.  Volunteer room and board is paid by the Foundation.,"MHKC makes a difference by supporting the annual Rocky Mountain Youth Leadership Conference?Building Informed Citizen Leaders. The RMYLC is operated by a separate 501(c)3 organization, the Rocky Mountain Youth Leadership Foundation (rmylf.org). The RMYLC provides a 5-day on-campus experience for 99 area high school juniors at  Colorado State University Pueblo (CSUP) in mid-June.ÿ The fully chaperoned event provides attendees with a college-like experience and education in leadership, patriotism, and the free enterprise system.ÿ Students participate in team and individual problem-solving challenges as well as attending presentations by highly qualified educational speakers.ÿ In addition to providing a grant for the conference, several club members volunteer time to assist with the operation of the conference.ÿ MHKC volunteers contribute about 100 hours annually to this event.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a>",0
Senior Meals,70,Jim Murphy,One morning per month,"Volunteer commit to drive once a month on a Monday, Wednesday, or Thursday.  Volunteers pick up empties at the church at 10am and are usually finished in an hour or so. The trip is down to the Silver Key facility off Airport Drive in southern Colorado Springs and back with full containers.  No skill is involved and members donate their time and vehicle operating costs.  Volunteers need to be able to lift 30 pounds.","MHKC makes a difference by providing assistance to Silver Key to deliver safe, convenient meals for the greatest generation, residents of the Tri-Lakes area at the Tri-Lakes Senior Center (currently at the Monument Community Presbyterian Church, 3rd Street). On selected days of the week, MHKC members pick up empty service containers at the Center, return those containers to the Silver Key kitchens in south Colorado Springs, pick up containers of hot food, and bring those containers back to the Center for serving at a noon meal. The work is shared between 12-15 volunteers so that each volunteer performs this service once or twice a month.ÿ The work is entirely voluntary and no compensation of any kind is provided.ÿ MHKC volunteers contribute over 400 hours annually to this project.ÿ This event takes place every week of the year and involves about a two-hour commitment.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=78&Itemid=260"" target=""_blank"">HERE</a>",0
Stars of Tomorrow,80,Rich Strom,One to two days in March,"There are several different volunteer opportunities for Stars of Tomorrow, most coming on the days of auditions (2 days in February) and the show (2 days in March).  Volunteers assist with publicity, preparation, and operation of the event.  Volunteer hours range from 2-3 hours for some tasks to 3-4 days for others.  No special skill is required.","Talent on Display.ÿ Monument Hill Kiwanis Club and District 38 inaugurate the Stars of Tomorrow Talent Show program for our community in 2022.  We highlight the talent of our local youth and provide them with an extraordinary opportunity to perform and receive feedback to continue to hone their skills. In addition, the Stars show is a fantastic fun family event for everyone in our community!  Stars of Tomorrow: gives recognition to our performing arts students, helps them hone their skills as they move forward with their performing arts career, builds their confidence as they compete in a professionally judged competition, and gives them experience in performing before a live audience in a first-class venue.
The competition classes are: Elementary (1-5) with a $500 prize, Middle School (6-8) with $750 prize and High School (9-12) with scholarships of $1,000 and $2,000.  While the middle school category does not mirror District 38?s classifications, adding an additional year?s class to the group helps even out the number of potential contestants. Dollar amounts of awards increase with age since older performers are anticipated to be more accomplished, have been working to improve their skills for longer, have spent more money on instruments and instructions and are possibly committed to pursuing a career in the performing arts.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=76&Itemid=299"" target=""_blank"">HERE</a>",0
Peach Sales,90,Terry McMullen,One morning or afternoon in August,"Volunteers donate between 2-10 hours, one day a year, to support distribution of the peaches sold.  This is an outdoor event and is organized in 4 hours shifts.  Some volunteers need to be able to lift 20# boxes of peaches. Some standing is required but there are volunteer positions that involve seated work as well.","Fresh Colorado peach sales support grants to make a difference.  MHKC raises funds to enable our mission of Making a Difference for Youth and Our Community by selling Colorado Palisades peaches once a year.ÿ All proceeds are used to execute the philanthropic element of the MHKC mission.  Purchase orders are taken in June and July and peaches are delivered in August.ÿ MHKC volunteers administer the sales process and assemble for customer pickup in the parking lot of Bear Creek Elementary School on the specified day, dependent on the growing season.ÿÿ MHKC volunteers contribute over 100 hours annually to this project.  The pickup event takes place near the beginning of August.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=76&Itemid=299"" target=""_blank"">HERE</a>",0
Empty Bowls Dinner,100,Dave Baily,One evening in October,"Volunteers can contribute time to help organize the event and/or operate the event on the day.  Typical volunteer effort is between 2 -10 hours total, though some lead tasks require more time.  There are physical requirements for those who help collect the soup and those who help in the kitchen on the night of the event.  Otherwise, the duties require no specific qualifications.","A generous community helping ourselves.  MHKC raises funds to enable our mission of Making a Difference for Youth and Our Community by partnering with Tri-Lakes Cares to conduct the Empty Bowls Dinner in October.ÿ Patrons pre-purchase a ticket to the event for $25 ($30 at the door) which entitles them to a bowl, a meal, entertainment, and community fellowship. Annually, 800+ bowls are produced by local artists & schools and donated for the event at no cost.ÿ Paper bags to carry the bowls are decorated by D38 elementary students. Soup is donated by 25+ local restaurants and bread is donated by local stores. Beverages are donated by Home Depot and Serranos Coffee.ÿ Desserts are donated by local stores and restaurants.  MHKC volunteers coordinate with TLC, prepare publicity for the event, conduct ticket sales, arrange for entertainment, solicit and collect donations, provide kitchen support, operate the event, and clean up afterward. MHKC volunteers contribute about 1,000 hours annually to this project. This one-night event raises more than $15,000 and all proceeds of the event are donated to our partner Tri-Lakes Cares for their mission. This event takes place on Wednesday of the first full week of October of every year.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=76&Itemid=299"" target=""_blank"">HERE</a>",0
